#|num|weight|mean|covariance matrix|
|0|5324.1836246|98.2928216482 102.175443365 53.3647796981|34.5462015946 37.1028825185 7.62371316559 37.1028825185 119.273730632 59.176143888 7.62371316559 59.176143888 46.6784713523|
|1|8295.11001515|118.315581765 92.7918035505 44.0621768476|108.139582662 13.3297644853 -9.369273018 13.3297644853 28.4141723411 -0.399252077848 -9.369273018 -0.399252077848 40.1500901675|
|2|6777.39723875|143.414977257 85.6039312057 39.1848760414|56.1742383478 15.0488730587 -6.37323663888 15.0488730587 43.2658190669 4.42967271575 -6.37323663888 4.42967271575 44.504142346|
|3|8492.75496301|129.388870153 117.023202617 21.5223921106|104.716481281 8.84873404422 -13.7665967 8.84873404422 26.9925918458 4.57140532134 -13.7665967 4.57140532134 54.9347440148|
|4|5350.25683086|101.487423438 82.0361965518 57.5558588594|22.50588744 0.608062115201 -2.0456949171 0.608062115201 67.326080339 -8.58383253081 -2.0456949171 -8.58383253081 28.8360224283|
|5|8215.58929703|141.863867527 107.319343399 35.9891104711|45.6229326255 -2.84892628775 -19.2585395601 -2.84892628775 45.9654045336 5.51756926076 -19.2585395601 5.51756926076 74.3897490717|
|6|5965.91708139|110.81344745 76.1976494265 39.5077633506|78.7219582466 9.68297810318 2.22674176509 9.68297810318 28.325870298 -6.724423936 2.22674176509 -6.724423936 33.6354662825|
|7|6984.47473611|129.904734268 85.4075377521 26.5970683837|62.4825108732 -15.8201915591 -0.466667013698 -15.8201915591 48.1567903187 -15.9466639042 -0.466667013698 -15.9466639042 46.1681798415|
|8|8019.95244154|89.7595307374 109.740415889 47.0435293816|48.7958956377 4.38233792452 -16.9599843509 4.38233792452 40.943184459 -4.92938137253 -16.9599843509 -4.92938137253 41.2343468726|
|9|6049.08647156|124.882626231 103.052478651 12.653459583|40.6860902951 13.9872689742 -12.2924099687 13.9872689742 32.5267186728 -9.83004080417 -12.2924099687 -9.83004080417 45.5186889188|
