#|num|weight|mean|covariance matrix|
|0|8771.41598347|154.478708776 60.2274188673 113.252457298|55.8254981034 25.6802920136 28.3797388432 25.6802920136 80.9548477406 -11.0362633166 28.3797388432 -11.0362633166 48.7626749911|
|1|7472.46009805|84.3947534923 152.961964238 145.771592689|73.8143122354 -12.1262087264 40.2821354384 -12.1262087264 26.4507811332 3.4772805796 40.2821354384 3.4772805796 42.35145233|
|2|15659.1261218|122.090488612 159.0453052 104.340468086|100.890696659 -12.3648521855 -12.2045377765 -12.3648521855 138.080440338 44.4468559219 -12.2045377765 44.4468559219 37.0759197311|
|3|4987.83882312|81.0379302639 177.230346031 108.355916964|123.614753275 -47.2037465368 -65.7941969594 -47.2037465368 21.1290120087 31.0723822945 -65.7941969594 31.0723822945 114.720347281|
|4|4717.13378838|130.556575249 81.0705951996 106.910090477|63.8489325569 6.84435780663 -5.00226306759 6.84435780663 37.3824947883 -8.96063611153 -5.00226306759 -8.96063611153 16.3801641045|
|5|5172.81369764|89.9259300583 161.387842115 131.844941551|20.5439134732 52.2171469274 -37.7975443724 52.2171469274 416.615327956 -235.61533215 -37.7975443724 -235.61533215 142.893441773|
|6|9257.44558963|59.7938829213 157.843637493 123.08128857|16.3060061891 -25.7823018871 13.7429105571 -25.7823018871 153.709619645 -32.4821932635 13.7429105571 -32.4821932635 64.7612686688|
|7|9696.21309872|74.7245321404 136.540733401 142.268118567|23.9362449676 9.00172496481 1.7372056013 9.00172496481 35.4964654356 -11.2139926579 1.7372056013 -11.2139926579 154.841808805|
|8|6626.76208069|71.7893706062 156.05480618 118.484591726|169.706972596 2.45890281053 -50.3463277205 2.45890281053 73.9805460566 -24.7109448649 -50.3463277205 -24.7109448649 27.4351650054|
|9|4623.10723066|140.079373606 65.2461708184 100.175654043|76.3618197154 -36.4819374217 -2.01424120102 -36.4819374217 86.4206558188 -10.5329468368 -2.01424120102 -10.5329468368 4.45601490961|
|10|3868.68388635|115.623295921 176.395783151 100.064752809|50.7866877153 -32.7244758727 -6.28371265693 -32.7244758727 93.5821792009 28.9249519083 -6.28371265693 28.9249519083 9.53182219477|
|11|4121.26552666|124.349118614 67.371857394 114.840572867|26.6721941497 -17.4417151788 -3.29057098971 -17.4417151788 71.2781108262 36.8802823335 -3.29057098971 36.8802823335 29.2097359296|
|12|8199.1954366|89.6941589456 164.51283493 101.256048759|204.19692873 -58.7693768398 -60.8996260781 -58.7693768398 52.9740358793 7.15545962133 -60.8996260781 7.15545962133 35.9328120329|
|13|9538.07551213|116.203332639 146.599525567 121.075807519|108.335868306 -37.6119983365 12.5095309415 -37.6119983365 87.370668623 -19.8302299734 12.5095309415 -19.8302299734 37.9258021664|
|14|3406.40100771|75.3972370277 173.653396864 125.91614763|76.6331913065 -38.5892388497 -5.61868063614 -38.5892388497 43.2933839108 7.931005429 -5.61868063614 7.931005429 5.52079838645|
|15|6598.6861233|132.724407887 151.14946322 113.775502844|79.1112960786 -24.5282363182 -55.3610333334 -24.5282363182 67.0478972802 25.6855918289 -55.3610333334 25.6855918289 49.0864949696|
|16|3892.78599507|84.8845771643 174.934885749 109.786941648|6.77194850162 -12.101708818 2.02024092025 -12.101708818 92.4721056046 -18.6571434864 2.02024092025 -18.6571434864 22.3515172723|
